fdNum,fdStartDate,fdEndDate
580,2014-01-05,2014-01-11
581,2014-01-12,2014-01-18
582,2014-01-19,2014-01-25
583,2014-01-26,2014-02-01
584,2014-02-02,2014-02-08
585,2014-02-09,2014-02-15
586,2014-02-16,2014-02-22
587,2014-02-23,2014-03-01
588,2014-03-02,2014-03-08
589,2014-03-09,2014-03-15
590,2014-03-16,2014-03-22
591,2014-03-23,2014-03-29
592,2014-03-30,2014-04-05
593,2014-04-06,2014-04-12
594,2014-04-13,2014-04-19
595,2014-04-20,2014-04-26
596,2014-04-27,2014-05-03
597,2014-05-04,2014-05-10
598,2014-05-11,2014-05-17
599,2014-05-18,2014-05-24
600,2014-05-25,2014-05-31
601,2014-06-01,2014-06-07
602,2014-06-08,2014-06-14
603,2014-06-15,2014-06-21
604,2014-06-22,2014-06-28
605,2014-06-29,2014-07-05
606,2014-07-06,2014-07-12
607,2014-07-13,2014-07-19
608,2014-07-20,2014-07-26
609,2014-07-27,2014-08-02
610,2014-08-03,2014-08-09
611,2014-08-10,2014-08-16
612,2014-08-17,2014-08-23
613,2014-08-24,2014-08-30
614,2014-08-31,2014-09-06
615,2014-09-07,2014-09-13
616,2014-09-14,2014-09-20
617,2014-09-21,2014-09-27
618,2014-09-28,2014-10-04
619,2014-10-05,2014-10-11
620,2014-10-12,2014-10-18
621,2014-10-19,2014-10-25
622,2014-10-26,2014-11-01
623,2014-11-02,2014-11-08
624,2014-11-09,2014-11-15
625,2014-11-16,2014-11-22
626,2014-11-23,2014-11-29
627,2014-11-30,2014-12-06
628,2014-12-07,2014-12-13
629,2014-12-14,2014-12-20
630,2014-12-21,2014-12-27
631,2014-12-28,2015-01-03
632,2015-01-04,2015-01-10
633,2015-01-11,2015-01-17
634,2015-01-18,2015-01-24
635,2015-01-25,2015-01-31
636,2015-02-01,2015-02-07
637,2015-02-08,2015-02-14
638,2015-02-15,2015-02-21
639,2015-02-22,2015-02-28
640,2015-03-01,2015-03-07
641,2015-03-08,2015-03-14
642,2015-03-15,2015-03-21
643,2015-03-22,2015-03-28
644,2015-03-29,2015-04-04
645,2015-04-05,2015-04-11
646,2015-04-12,2015-04-18
647,2015-04-19,2015-04-25
648,2015-04-26,2015-05-02
649,2015-05-03,2015-05-09
650,2015-05-10,2015-05-16
651,2015-05-17,2015-05-23
652,2015-05-24,2015-05-30
